"location","original_location_code","state","state_abb","location_name","population","location_type","hsa_counties"
"triad-area","5","North Carolina","NC","Triad Area, NC",1764313,"nc_flu_region_id","Alleghany, Ashe, Caswell, Davidson, Davie, Forsyth, Guilford, Montgomery, Randolph, Rockingham, Stokes, Surry, Watauga, Wilkes, Yadkin"
"wnc","6","North Carolina","NC","Western, NC",1008573,"nc_flu_region_id","Avery, Buncombe, Burke, Caldwell, Cherokee, Clay, Graham, Haywood, Henderson, Jackson, Macon, Madison, McDowell, Mitchell, Polk, Rutherford, Swain, Transylvania, Yancey"
"clt-area","7","North Carolina","NC","Charlotte Area, NC",2748020,"nc_flu_region_id","Alexander, Anson, Cabarrus, Catawba, Cleveland, Gaston, Iredell, Lincoln, Mecklenburg, Rowan, Stanly, Union"
"north-carolina","All","North Carolina","NC","North Carolina",10842949,"nc_flu_region_id",""
"portland","689","Oregon","OR","Portland, OR",1920958,"hsa_nci_id","Clackamas, Clatsop, Columbia, Multnomah, Washington"
"salem","705","Oregon","OR","Salem, OR",543207,"hsa_nci_id","Marion, Polk, Yamhill"
"deschutes","719","Oregon","OR","Deschutes, OR",262599,"hsa_nci_id","Crook, Deschutes, Harney, Jefferson, Wheeler"
"eugene","782","Oregon","OR","Eugene, OR",494435,"hsa_nci_id","Douglas, Lane"
"medford","973","Oregon","OR","Medford, OR",310632,"hsa_nci_id","Jackson, Josephine"
"oregon","All","Oregon","OR","Oregon",4238714,"hsa_nci_id",""
